id xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag
1 360.75757 1.2065243 0.67695504 0.74969341 0.39412562 25 0 388.64778 1.6252438 -0.52729629
2 333.12505 3.7470489 0.63644413 0.059941003 0.13258856 25 0 849.34158 3.7083066 -1.4229391
3 342.18881 6.2504377 0.62810173 0.022503815 0.13952506 25 0 328.18684 1.4592891 -0.41035333
4 464.71294 6.8014601 0.72199314 0.27857574 -0.019523732 25 0 633.47263 2.5585987 -1.0200054
5 144.89912 11.048634 0.73099782 -0.25241892 0.12627149 25 0 641.69442 2.7321318 -1.0912541
6 -0.13673839 11.690726 0.85903297 0.25467749 0.57383059 25 0 277.76785 1.1210277 -0.1240409
7 370.7256 12.338366 0.69004294 -0.16998532 0.191484 25 0 876.96209 3.6150307 -1.39528
8 60.100877 13.387695 0.7010114 0.19276871 0.24329052 25 0 16740.936 70.664211 -4.6229988
9 7.6042416 15.003663 0.67777917 -0.061300298 0.014706608 25 0 6229.3425 26.804698 -3.5705273
10 444.16415 15.476352 0.69811158 0.5552088 0.39708343 25 0 831.05687 3.4451667 -1.3430256
11 503.34839 15.195354 0.62221789 0.27994375 0.086656585 25 0 27771.915 124.16888 -5.2350319
12 461.50533 16.862454 0.71187726 -0.36743739 -0.083652324 25 0 335.9231 1.2770731 -0.26553942
13 369.79696 20.923065 0.55583705 -0.54936569 -0.17146189 25 0 261.36912 1.1809417 -0.18057114
14 371.00525 26.053176 0.63373836 -0.1560333 0.37447422 25 0 326.57112 1.5090855 -0.44678461
15 248.73197 30.807035 0.57597854 0.16088229 0.18020001 25 0 336.42995 1.628919 -0.52974875
16 460.86193 33.415698 0.81350876 -0.057708785 0.62462181 25 0 269.63083 1.0453573 -0.048161901
17 389.88987 33.846944 0.61275653 -0.028486258 -0.0028144726 25 0 676.87615 3.2128065 -1.2672114
18 489.5779 33.854086 0.57452248 0.55750619 -0.0041408661 25 0 401.77611 1.9390321 -0.7189625
19 162.58978 36.713393 0.508193 -0.38200586 -0.0059820156 25 0 400.44892 2.1363596 -0.82418589
20 133.74426 40.982441 0.32682738 -0.1215227 -0.30848902 25 0 173.68852 1.1843321 -0.18368372
21 149.50162 40.838539 0.69483352 0.20969288 0.012290154 25 0 631.13521 2.6795174 -1.0701415
22 222.36524 41.920822 0.64953716 0.010976064 0.028077809 25 0 1362.593 6.1510288 -1.9723694
23 454.82126 42.517954 0.68899955 -0.32400516 0.036157502 25 0 298.2213 1.3575429 -0.33188388
24 241.81404 42.707021 0.67654331 0.26688168 0.17893899 25 0 2682.0852 11.519202 -2.653556
25 382.44431 43.784304 0.71827693 0.27891366 0.16830205 25 0 548.11773 2.1777491 -0.8450196
26 425.95723 44.284167 0.72798503 0.20057609 0.27727899 25 0 334.15294 1.3500363 -0.32586361
27 101.96104 45.151677 0.70284889 -0.063211093 0.011134806 25 0 737.49498 3.2704085 -1.286505
28 285.82501 45.23134 0.69361251 -0.11054906 0.446032 25 0 365.06501 1.6223135 -0.52533694
29 360.42875 44.786823 0.36908652 -0.11346989 0.21325607 25 0 58909.071 308.74461 -6.2239985
30 147.1032 47.054213 0.69504086 0.073335829 0.14391009 25 0 6292.348 26.947751 -3.5763063
31 190.10599 47.716819 0.88165954 0.52107051 0.21080281 25 0 416.42251 1.4104877 -0.37342328
32 436.04227 48.158125 0.71303697 0.2273095 0.093507423 25 0 1371.3065 5.7245325 -1.8943501
33 80.537733 49.975648 0.50322603 -0.22937345 0.52332931 25 0 206.29373 1.1204669 -0.12349755
34 282.84616 53.631563 0.59157169 0.4325241 0.44463045 25 0 422.46611 2.0837399 -0.79710878
35 436.57649 53.607891 0.53035876 0.31741053 0.008676655 25 0 274.17471 1.3670149 -0.33943312
36 506.6306 54.062127 0.59503223 0.031553284 -0.066967914 25 0 800.92681 3.6915094 -1.41801
37 88.224831 54.385227 0.35986679 -0.94364699 0.32825385 25 0 197.1133 1.3040375 -0.28822523
38 330.09304 55.215712 0.6461019 0.11827857 0.092988614 25 0 1749.6129 7.8793204 -2.2412219
39 177.96572 60.04573 0.69130759 -0.23307138 0.038868379 25 0 441.30978 1.83625 -0.65982954
40 479.0978 61.720104 0.69207324 -0.012840946 0.20941913 25 0 1876.4833 7.9383226 -2.2493219
41 66.130263 63.098773 0.74009771 -0.22181013 -0.11244825 25 0 376.89532 1.6801095 -0.56334396
42 33.32284 66.104504 0.73738632 -0.32994767 0.12474849 25 0 518.19875 2.0729405 -0.79146711
43 385.22747 66.020028 0.57425261 0.51019849 0.17822972 25 0 341.10891 1.634627 -0.53354668
44 67.156333 68.160571 0.68803472 -0.033636906 0.059825287 25 0 722.60865 3.0434026 -1.2083985
45 90.260874 67.89375 0.6054696 -0.41264968 0.30141504 25 0 466.06678 2.1486269 -0.83040253
46 205.27189 68.285301 0.65979241 0.19677286 0.24852871 25 0 357.14769 1.4848067 -0.42917479
47 468.71015 68.680151 0.64279535 0.37409365 0.1646948 25 0 1704.8296 7.5039368 -2.1882229
48 507.5528 69.348717 0.59582836 -0.26748163 0.082178185 25 0 431.75096 1.9217253 -0.70922827
49 33.533368 69.997626 0.5486534 -0.19942922 0.0058352636 25 0 428.54391 2.2632158 -0.88681494
50 148.02803 69.916987 0.65937275 0.013004102 0.29662399 25 0 527.4924 2.3630426 -0.93367887
51 453.99657 70.298069 0.72320187 0.1002898 0.20252957 25 0 760.47508 3.1348308 -1.2405353
52 72.566687 72.252577 0.62630908 -0.17169694 -0.08445278 25 0 219.89227 1.0709624 -0.074435593
53 91.496026 72.998671 0.62877129 -0.084081266 -0.071598721 25 0 1667.3456 7.3696335 -2.1686147
54 349.7739 74.357033 0.43283774 -0.24684504 -0.25589532 25 0 224.20996 1.5174586 -0.45279212
55 161.15501 75.142502 0.58584448 -0.079650553 0.46907744 25 0 192.70805 1.0735693 -0.077075224
56 504.47064 77.101156 0.64612122 -0.0018443179 0.02640379 25 0 1013.3645 4.2633842 -1.5743862
57 349.50508 77.734242 0.45055103 -0.18390034 -0.27202331 25 0 156.39764 1.0278589 -0.029833777
58 386.55764 81.31619 0.55925073 0.46156006 0.0098492271 25 0 2953.292 13.598858 -2.8337561
59 6.8224246 84.148993 0.73345788 0.21202138 0.25984986 25 0 906.9298 3.7996646 -1.4493632
60 155.43305 84.835613 0.51282495 -0.32995239 -0.13961319 25 0 438.82673 2.3419148 -0.92392772
61 470.98717 86.058946 0.49164816 0.029332841 0.70414026 25 0 218.68629 1.2597988 -0.25075301
62 127.81161 88.495187 0.64776593 0.067544061 0.18315307 25 0 626.35806 2.7019942 -1.079211
63 268.99391 91.835973 0.71743277 0.19807365 0.024648682 25 0 305.55542 1.2693212 -0.25892881
64 190.73917 95.105751 0.65235245 0.083497847 0.1474564 25 0 610.51341 2.9529512 -1.1756407
65 319.5598 95.64592 0.5464968 -0.48939533 0.14453967 25 0 1069.4248 4.9334758 -1.7328825
66 323.49348 97.509753 0.51429041 0.28768394 0.11581421 25 0 1216.6339 5.7296437 -1.895319
67 221.7198 98.57403 0.59999743 0.51346634 0.11873319 25 0 1657.4985 7.4414467 -2.1791434
68 487.70976 101.86553 0.54417525 -0.33489619 0.0028669093 25 0 376.09301 1.7867713 -0.63017241
69 89.391285 102.88933 0.62340855 -0.20629003 -0.042313977 25 0 3629.7655 15.956875 -3.0073696
70 151.20365 102.52117 0.46325179 0.74546839 -0.20750012 25 0 292.74888 1.6118751 -0.51832848
71 97.669294 104.13323 0.3853902 0.20598781 -0.2880915 25 0 163.25783 1.0675148 -0.070934756
72 332.36744 104.29234 0.48221272 0.55235313 0.16284533 25 0 290.12568 1.4325403 -0.39026713
73 185.46586 108.19798 0.55989128 -0.10414201 -0.24981918 25 0 220.34385 1.1472549 -0.1491498
74 22.107725 110.10566 0.71081569 0.31597007 0.086594057 25 0 241.04694 1.0551684 -0.058304435
75 368.17967 113.69861 0.71523931 -0.30218973 0.073574072 25 0 718.46897 2.917762 -1.1626247
76 254.81031 115.85958 0.67624452 0.13036523 0.13319183 25 0 19901.124 86.101839 -4.8375311
77 272.23093 115.86064 0.70837455 0.22024903 0.1799124 25 0 1190.8385 4.7325671 -1.6877419
78 282.29654 117.31904 0.65164019 0.20495659 0.20525635 25 0 1964.3306 8.4494261 -2.317068
79 338.95749 116.86563 0.6898576 0.28448775 0.18582498 25 0 1385.3998 5.9555525 -1.9373052
80 484.18722 118.31516 0.68097274 0.27501997 0.19867707 25 0 554.60896 2.5356933 -1.0102418
81 133.8229 119.60822 0.59904061 -0.31816611 0.35412682 25 0 483.74209 2.2485491 -0.87975592
82 234.33654 119.10864 0.55761043 -0.28214758 -0.1059012 25 0 465.23026 2.1911963 -0.85170323
83 349.43093 119.70338 0.64053785 -0.020649086 0.51184247 25 0 196.78464 1.0878684 -0.091440933
84 188.6846 120.84546 0.63003522 -0.1383382 0.23400233 25 0 404.75278 1.7871283 -0.63038934
85 86.673556 120.98664 0.68749054 0.022775491 -0.07219091 25 0 657.98119 2.8566077 -1.1396265
86 186.15691 122.52487 0.65149772 -0.03941858 0.26581761 25 0 2198.443 9.5248172 -2.4471416
87 18.77726 124.4285 0.66649342 0.027962348 0.32420983 25 0 530.74631 2.3710535 -0.9373534
88 210.0957 127.95601 0.682117 0.17898759 0.16236005 25 0 2160.6858 9.2344404 -2.4135265
89 13.577833 130.4326 0.67683154 -0.20826022 0.16234656 25 0 433.36012 1.8122863 -0.64556701
90 41.422757 129.63556 0.66501395 -0.21866715 0.14185827 25 0 1265.065 5.4937357 -1.8496694
91 287.54673 131.1731 0.63942093 -0.19408171 -0.0064815027 25 0 478.54168 2.109926 -0.81066806
92 430.08294 139.10599 0.66908291 0.15730011 0.15761923 25 0 14381.147 62.251763 -4.4853791
93 418.53863 142.14301 0.74657522 0.0024795879 0.2316248 25 0 320.12025 1.2964427 -0.28188333
94 332.94995 144.81406 0.65303485 0.094574436 0.15385519 25 0 3374.3368 14.728251 -2.920378
95 48.699369 145.98339 0.68609017 -0.047683835 0.061920774 25 0 934.06609 4.0123537 -1.508498
96 128.47093 147.66026 0.50472265 0.68247752 0.11549237 25 0 206.2029 1.0258373 -0.027696218
97 31.739376 149.95272 0.65834501 0.071904179 0.1338527 25 0 676.61654 3.0317954 -1.2042497
98 486.07937 149.62292 0.69775936 0.22277516 0.52141434 25 0 246.26083 1.068866 -0.072308194
99 131.35777 159.32055 0.56887707 -0.45893452 0.11679401 25 0 387.76128 1.8100661 -0.64423609
100 420.02481 160.63165 0.6585341 0.15675726 0.22794164 25 0 56978.041 245.83738 -5.9766198
101 459.28374 164.13464 0.67825256 0.46051881 0.15642231 25 0 617.76813 2.6797246 -1.0702254
102 240.52467 164.84062 0.61417231 0.010277315 0.068582969 25 0 514.76168 2.3337031 -0.92011402
103 187.38297 168.35746 0.56866764 -0.67854748 -0.21025022 25 0 268.14126 1.2225316 -0.21815023
104 67.527721 171.9938 0.5958253 -0.20261614 -0.019191934 25 0 358.08866 1.5868184 -0.50131807
105 510.95836 172.3569 0.94861141 0.41820997 0.60822441 25 0 745.95588 2.5211117 -1.0039802
106 176.61085 172.51454 0.35445174 0.93242653 0.13411826 25 0 170.26017 1.0474538 -0.05033723
107 260.12608 173.31815 0.6302997 0.26708274 0.14627558 25 0 1903.2861 8.4398394 -2.3158355
108 380.47714 172.97596 0.5513279 -0.15786546 -0.043837153 25 0 477.76465 2.3848061 -0.9436327
109 198.19965 174.04524 0.70544997 -0.0116161 0.12272201 25 0 1128.8313 4.7228536 -1.6855112
110 447.51287 175.15557 0.55459633 0.048866147 -0.13148387 25 0 348.52098 1.7862222 -0.62983868
111 35.49345 176.26116 0.8213818 -0.41434243 -0.091083618 25 0 263.20034 1.0314923 -0.033665018
112 186.70285 176.69856 0.57665892 0.037744694 0.069244429 25 0 1566.1547 7.3195122 -2.1612054
113 177.86388 180.81106 0.61509195 0.18260639 0.1770134 25 0 250.66615 1.1633805 -0.16430446
114 455.23566 181.6618 0.6704197 -0.1982388 0.18984023 25 0 3093.6427 13.142589 -2.7967023
115 50.866818 182.82084 0.74672845 0.21511327 0.077670905 25 0 904.09557 3.5853124 -1.3863175
116 148.99744 182.70268 0.64299074 0.44617591 0.27235921 25 0 2014.3911 8.7758254 -2.3582199
117 445.13346 184.00315 0.68246208 -0.081269095 0.098647971 25 0 723.82927 3.0682617 -1.217231
118 260.8546 185.59853 0.61297323 0.058237495 0.22724436 25 0 1011.0724 4.4829983 -1.6289214
119 455.67228 186.70905 0.65865984 0.0023986119 -0.034525562 25 0 1006.335 4.2876917 -1.5805589
120 223.3546 188.23167 0.59860519 0.27528849 0.075964269 25 0 757.59721 3.4504618 -1.3446931
121 105.54875 189.2897 0.6531391 -0.29138613 0.041359153 25 0 39569.963 168.73444 -5.5680094
122 155.3342 190.39168 0.67133826 0.86496427 0.330239 25 0 457.12965 1.9526089 -0.72653818
123 286.79832 194.32661 0.68378405 -0.10711862 0.05047744 25 0 306.76114 1.2546197 -0.24628029
124 454.81236 194.54267 0.66809845 0.42322499 0.13346036 25 0 398.55435 1.7023468 -0.57762009
125 489.09241 198.4677 0.65237799 0.0045804048 0.36771249 25 0 686.8399 3.1397363 -1.2422329
126 383.04112 200.3629 0.75204188 0.35021254 0.27048072 25 0 331.57215 1.4065113 -0.37035806
127 416.04137 200.37751 0.69956279 0.64109141 0.58733133 25 0 334.97395 1.3550681 -0.32990283
128 202.22331 201.23541 0.63454126 0.012634008 0.18463081 25 0 647.23122 2.8101966 -1.1218418
129 232.67376 202.65883 0.77190061 -0.13972282 0.50131983 25 0 362.68946 1.3323548 -0.3115497
130 100.66628 203.25501 0.73867046 -0.71453551 -0.12533484 25 0 661.81558 2.5287803 -1.0072777
131 440.01946 202.87473 0.68934947 0.13247437 0.086374511 25 0 384.21232 1.8351794 -0.6591963
132 181.52118 205.15948 0.71649791 0.26050615 0.02909629 25 0 266.25267 1.0350487 -0.037401916
133 503.58979 204.57807 0.55073971 0.18706368 0.20072042 25 0 559.1687 2.6890883 -1.0740127
134 449.92538 207.14818 0.65275934 -0.32960206 0.16250164 25 0 285.07669 1.2868707 -0.27383726
135 46.312302 212.39685 0.68826345 0.5579616 0.10088276 25 0 463.36629 2.0603036 -0.78482805
136 48.811112 213.87812 0.69284443 0.16997337 -0.035267174 25 0 567.12369 2.5072929 -0.99801268
137 459.76014 214.4501 0.63181333 0.58317762 0.27455601 25 0 1084.4736 4.9209226 -1.7301163
138 21.978874 215.89162 0.7416675 0.14095663 0.18302871 25 0 2334.9012 9.4848382 -2.4425748
139 360.48649 216.83785 0.59190497 -0.17088386 -0.0069619595 25 0 1492.4746 6.6787662 -2.0617406
